"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2005","2005","PC","Percentage","0","Units",,,3.271441,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2006","2006","PC","Percentage","0","Units",,,3.42029,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2007","2007","PC","Percentage","0","Units",,,3.738872,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2008","2008","PC","Percentage","0","Units",,,3.174173,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2009","2009","PC","Percentage","0","Units",,,3.043843,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,2.710101,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,2.051282,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,2.367501,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2013","2013","PC","Percentage","0","Units",,,2.213924,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2014","2014","PC","Percentage","0","Units",,,2.541068,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,2.145709,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2016","2016","PC","Percentage","0","Units",,,1.838966,"N","Non-publishable, but non-confidential value"
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2006","2006","PC","Percentage","0","Units",,,15.73109,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2007","2007","PC","Percentage","0","Units",,,15.00051,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2008","2008","PC","Percentage","0","Units",,,14.95504,,
